@relation jamesPattern2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]'}
@attribute ' Counter' numeric
@attribute Name {James}

@data
-0.763748,3.665512,9.346954,-0.763748,3.665512,9.346954,-0.763748,3.665512,9.346954,-0.763748,3.665512,9.346954,-0.763748,3.665512,9.346954,-0.763748,3.665512,9.346954,569.92426,191.68512,6577.9673,-1161.0802,0.8,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',31,James
-0.63446,3.646362,9.136261,21.746826,10.548401,-32.61566,21.746826,10.548401,-32.61566,21.746826,10.548401,-32.61566,21.746826,10.548401,-32.61566,21.746826,10.548401,-32.61566,1078.0875,116,2339.4607,-0.014661,0.8,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',31,James
-0.644028,3.593689,9.390045,-0.644028,3.593689,9.390045,-0.644028,3.593689,9.390045,-0.644028,3.593689,9.390045,-0.644028,3.593689,9.390045,-0.644028,3.593689,9.390045,733.5663,642.9679,-5142.775,5222.345,0.8,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',31,James
-0.375885,3.670303,8.911209,-0.375885,3.670303,8.911209,-0.375885,3.670303,8.911209,-0.375885,3.670303,8.911209,-0.375885,3.670303,8.911209,-0.375885,3.670303,8.911209,349.56473,1064.3818,-1544.2925,1918.9803,0.8,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',31,James
-0.452499,3.761276,9.366104,-0.452499,3.761276,9.366104,0.100143,0.104385,-0.010666,0.100143,0.104385,-0.010666,0.100143,0.104385,-0.010666,0.100143,0.104385,-0.010666,281,1168.5,0,0,0.4375,0.011765,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',32,James
-0.883453,4.053375,9.42836,-0.883453,4.053375,9.42836,0.087357,0.003204,0.001053,0.087357,0.003204,0.001053,0.087357,0.003204,0.001053,0.087357,0.003204,0.001053,280,273,0,0,0.425,0.007843,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',32,James
-0.883453,4.053375,9.42836,-0.883453,4.053375,9.42836,0.087357,0.003204,0.001053,0.087357,0.003204,0.001053,0.087357,0.003204,0.001053,0.087357,0.003204,0.001053,280,273,0,0,0.425,0.007843,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',32,James
-0.280121,3.63678,8.963882,-0.280121,3.63678,8.963882,-0.280121,3.63678,8.963882,-0.280121,3.63678,8.963882,-0.280121,3.63678,8.963882,-0.280121,3.63678,8.963882,563.14355,227.97949,6055.733,-901.9286,0.925,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',32,James
-0.84993,3.713394,9.227249,-0.84993,3.713394,9.227249,-0.84993,3.713394,9.227249,-0.84993,3.713394,9.227249,-0.84993,3.713394,9.227249,-0.84993,3.713394,9.227249,1044.4657,169,3756.0042,93.71954,0.925,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',32,James
-0.63446,3.670303,9.212875,-0.63446,3.670303,9.212875,-0.63446,3.670303,9.212875,-0.63446,3.670303,9.212875,-0.63446,3.670303,9.212875,-0.63446,3.670303,9.212875,811.58887,691.85156,-5035.4614,5663.4956,0.925,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',32,James
-0.581787,3.660721,8.652634,-0.581787,3.660721,8.652634,-0.581787,3.660721,8.652634,-0.581787,3.660721,8.652634,-0.581787,3.660721,8.652634,-0.581787,3.660721,8.652634,358.1063,1148.8983,-2861.0005,2739.3862,0.925,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',32,James
-0.308838,3.799591,9.528915,22.094727,10.896301,-32.948303,22.094727,10.896301,-32.948303,0.172012,0.096359,0.348389,0.172012,0.096359,0.348389,0.172012,0.096359,0.348389,234,1291.2002,0,0,0.6625,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',33,James
-0.51474,3.694244,8.920792,-0.51474,3.694244,8.920792,-0.51474,3.694244,8.920792,-0.51474,3.694244,8.920792,0.045639,-0.111618,-0.099808,0.045639,-0.111618,-0.099808,269,297,0,0,0.9375,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',33,James
-0.51474,3.694244,8.920792,-0.51474,3.694244,8.920792,-0.51474,3.694244,8.920792,-0.51474,3.694244,8.920792,0.045639,-0.111618,-0.099808,0.045639,-0.111618,-0.099808,269,297,0,0,0.9375,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',33,James
-0.486008,3.430878,9.457092,21.572876,10.722351,-33.11615,21.572876,10.722351,-33.11615,0.168945,0.096237,0.351257,0.168945,0.096237,0.351257,0.168945,0.096237,0.351257,620.9762,230.57336,6008.996,-319.55807,0.9375,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',33,James
-0.79248,3.746918,9.045288,-0.79248,3.746918,9.045288,-0.79248,3.746918,9.045288,-0.79248,3.746918,9.045288,-0.157715,0.06958,-0.023483,-0.157715,0.06958,-0.023483,1073.1943,233.01764,3594.684,428.93173,0.9375,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',33,James
-0.84993,3.761276,9.404419,-0.84993,3.761276,9.404419,-0.84993,3.761276,9.404419,-0.84993,3.761276,9.404419,-0.84993,3.761276,9.404419,-0.84993,3.761276,9.404419,886.34863,711.02527,-6077.5635,5835.6416,0.9375,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',33,James
-0.529114,3.737335,9.002197,-0.529114,3.737335,9.002197,-0.529114,3.737335,9.002197,-0.529114,3.737335,9.002197,-0.529114,3.737335,9.002197,-0.529114,3.737335,9.002197,409.86554,1154.7079,-3871.0874,2849.6785,0.9375,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',33,James
-0.720642,3.904938,9.212875,-0.720642,3.904938,9.212875,-0.720642,3.904938,9.212875,-0.720642,3.904938,9.212875,-0.720642,3.904938,9.212875,-0.720642,3.904938,9.212875,217,1310,0,0,0.4875,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',34,James
-0.897812,3.986343,9.035706,-0.897812,3.986343,9.035706,-0.897812,3.986343,9.035706,0.173752,0.100815,0.350998,0.173752,0.100815,0.350998,0.173752,0.100815,0.350998,235,276,0,0,0.7375,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',34,James
-0.897812,3.986343,9.035706,-0.897812,3.986343,9.035706,-0.897812,3.986343,9.035706,0.173752,0.100815,0.350998,0.173752,0.100815,0.350998,0.173752,0.100815,0.350998,235,276,0,0,0.7375,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',34,James
-0.308838,3.651154,9.150635,21.224976,9.67865,-31.77948,21.224976,9.67865,-31.77948,21.224976,9.67865,-31.77948,21.224976,9.67865,-31.77948,21.224976,9.67865,-31.77948,556.9531,216.46967,6282.0093,-1048.3627,0.7375,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',34,James
-0.63446,3.670303,9.11232,-0.63446,3.670303,9.11232,-0.63446,3.670303,9.11232,0.167633,0.099731,0.3517,0.167633,0.099731,0.3517,0.167633,0.099731,0.3517,1102.378,108.37457,3747.5303,-462.30988,0.7375,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',34,James
-0.47644,3.531433,9.102753,-0.47644,3.531433,9.102753,-0.47644,3.531433,9.102753,0.168686,0.099411,0.35257,0.168686,0.099411,0.35257,0.168686,0.099411,0.35257,760.82416,674.1295,-5322.481,5328.558,0.7375,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',34,James
-0.49559,3.938461,9.117111,-0.49559,3.938461,9.117111,-0.49559,3.938461,9.117111,-0.49559,3.938461,9.117111,0.020493,0.171783,0.077499,0.020493,0.171783,0.077499,273.51944,1132.2899,-4162.9307,4041.2654,0.7375,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',34,James
-0.658402,4.043793,9.279923,-0.658402,4.043793,9.279923,0.068176,0.233276,-0.017044,0.068176,0.233276,-0.017044,0.068176,0.233276,-0.017044,0.068176,0.233276,-0.017044,143.79608,1261.1671,0,0,0.4375,0.011765,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,James
-0.687134,3.986343,8.805862,-0.687134,3.986343,8.805862,-0.687134,3.986343,8.805862,0.176773,0.100693,0.348984,0.176773,0.100693,0.348984,0.176773,0.100693,0.348984,206,298,0,0,0.875,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,James
-0.687134,3.986343,8.805862,-0.687134,3.986343,8.805862,-0.687134,3.986343,8.805862,0.176773,0.100693,0.348984,0.176773,0.100693,0.348984,0.176773,0.100693,0.348984,206,298,0,0,0.875,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,James
-0.529114,3.890564,9.327805,-0.529114,3.890564,9.327805,-0.014893,0.034073,-0.038361,-0.014893,0.034073,-0.038361,-0.014893,0.034073,-0.038361,-0.014893,0.034073,-0.038361,613.4856,247.466,6746.3687,-1103.7086,0.875,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,James
-0.605728,3.742127,9.069229,-0.605728,3.742127,9.069229,-0.605728,3.742127,9.069229,0.170486,0.09877,0.349762,0.170486,0.09877,0.349762,0.170486,0.09877,0.349762,1062.6144,177.7987,3844.1672,-299.88022,0.875,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,James
-0.404617,3.651154,8.987824,-0.404617,3.651154,8.987824,-0.404617,3.651154,8.987824,0.169067,0.100998,0.350464,0.169067,0.100998,0.350464,0.169067,0.100998,0.350464,863.87103,635.79834,-6156.02,6328.6973,0.875,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,James
-0.524323,3.785233,9.28949,22.790527,10.200501,-33.28247,22.790527,10.200501,-33.28247,22.790527,10.200501,-33.28247,0.02977,0.044876,0.241211,0.02977,0.044876,0.241211,349.0042,1127.8756,-3017.8455,3198.201,0.875,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',35,James
-0.418976,3.95282,9.241608,-0.418976,3.95282,9.241608,-0.418976,3.95282,9.241608,-0.418976,3.95282,9.241608,-0.418976,3.95282,9.241608,-0.418976,3.95282,9.241608,229.5,1234,0,0,0.3875,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',36,James
-0.773315,3.938461,8.77713,-0.773315,3.938461,8.77713,-0.773315,3.938461,8.77713,-0.773315,3.938461,8.77713,-0.146484,0.05835,-0.207397,-0.146484,0.05835,-0.207397,292,260,0,0,0.625,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',36,James
-0.773315,3.938461,8.77713,-0.773315,3.938461,8.77713,-0.773315,3.938461,8.77713,-0.773315,3.938461,8.77713,-0.146484,0.05835,-0.207397,-0.146484,0.05835,-0.207397,292,260,0,0,0.625,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',36,James
-0.624878,3.81395,9.394836,-0.624878,3.81395,9.394836,-0.624878,3.81395,9.394836,-0.624878,3.81395,9.394836,-0.624878,3.81395,9.394836,-0.624878,3.81395,9.394836,573.6791,199.06537,6563.706,-1448.2872,0.925,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',36,James
-0.47644,3.703827,8.868118,-0.47644,3.703827,8.868118,-0.47644,3.703827,8.868118,-0.47644,3.703827,8.868118,0.184189,-0.078857,-0.155319,0.184189,-0.078857,-0.155319,1079.5765,122.795654,4225.8975,-241.20358,0.925,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',36,James
-0.677551,3.718185,9.351746,-0.677551,3.718185,9.351746,-0.677551,3.718185,9.351746,-0.677551,3.718185,9.351746,-0.017502,-0.026932,0.312592,-0.017502,-0.026932,0.312592,764.19275,663.38257,-6118.9336,5958.888,0.925,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',36,James
-0.543472,3.766068,9.097961,-0.543472,3.766068,9.097961,0.028763,-0.044739,0,0.171906,0.096832,0.352234,0.171906,0.096832,0.352234,0.171906,0.096832,0.352234,360.6072,1067.5574,-2769.0083,3017.3877,0.925,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',36,James
-0.67276,3.684662,8.69574,-0.67276,3.684662,8.69574,-0.67276,3.684662,8.69574,-0.67276,3.684662,8.69574,-0.041885,-0.126892,-0.317673,-0.041885,-0.126892,-0.317673,222.5,1249,0,0,0.3875,0.007843,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',37,James
-1.065414,3.914505,9.28949,-1.065414,3.914505,9.28949,-1.065414,3.914505,9.28949,-1.065414,3.914505,9.28949,-1.065414,3.914505,9.28949,-1.065414,3.914505,9.28949,275,290,0,0,0.325,0.003922,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',37,James
-1.065414,3.914505,9.28949,-1.065414,3.914505,9.28949,-1.065414,3.914505,9.28949,-1.065414,3.914505,9.28949,-1.065414,3.914505,9.28949,-1.065414,3.914505,9.28949,275,290,0,0,0.325,0.003922,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',37,James
-0.936127,3.555389,9.457092,-0.936127,3.555389,9.457092,-0.936127,3.555389,9.457092,-0.936127,3.555389,9.457092,-0.32695,-0.187332,0.413284,-0.32695,-0.187332,0.413284,559.9793,266.52167,6398.058,-552.25964,0.925,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',37,James
-0.806839,3.684662,9.088379,-0.806839,3.684662,9.088379,-0.806839,3.684662,9.088379,-0.806839,3.684662,9.088379,-0.806839,3.684662,9.088379,-0.806839,3.684662,9.088379,1036.3256,210.95349,3076.6167,-492.25406,0.925,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',37,James
-0.567413,3.651154,8.987824,-0.567413,3.651154,8.987824,-0.567413,3.651154,8.987824,-0.567413,3.651154,8.987824,-0.567413,3.651154,8.987824,-0.567413,3.651154,8.987824,738.4122,670.51465,-5980.419,5860.0806,0.925,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',37,James
-0.543472,3.847473,9.102753,-0.543472,3.847473,9.102753,-0.543472,3.847473,9.102753,-0.543472,3.847473,9.102753,-0.543472,3.847473,9.102753,-0.543472,3.847473,9.102753,349.73987,1099.4861,-2137.9963,2353.3325,0.925,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',37,James
-0.648819,3.876205,9.299072,-0.648819,3.876205,9.299072,-0.648819,3.876205,9.299072,-0.648819,3.876205,9.299072,-0.648819,3.876205,9.299072,-0.648819,3.876205,9.299072,254,1213,0,0,0.2625,0.003922,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',38,James
-0.816422,4.000702,8.901627,-0.816422,4.000702,8.901627,-0.816422,4.000702,8.901627,0.175842,0.100525,0.356339,0.175842,0.100525,0.356339,0.175842,0.100525,0.356339,241,279,0,0,0.8375,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',38,James
-0.816422,4.000702,8.901627,-0.816422,4.000702,8.901627,-0.816422,4.000702,8.901627,0.175842,0.100525,0.356339,0.175842,0.100525,0.356339,0.175842,0.100525,0.356339,241,279,0,0,0.8375,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',38,James
-0.136459,3.627213,8.796295,-0.136459,3.627213,8.796295,-0.136459,3.627213,8.796295,-0.136459,3.627213,8.796295,-0.136459,3.627213,8.796295,-0.136459,3.627213,8.796295,647.2262,217.42389,6955.018,-1234.0873,0.8375,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',38,James
-0.802048,3.641571,8.968674,-0.802048,3.641571,8.968674,-0.802048,3.641571,8.968674,0.168167,0.101471,0.35733,0.168167,0.101471,0.35733,0.168167,0.101471,0.35733,1068.2427,145.89197,4577.855,-570.079,0.8375,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',38,James
-0.581787,3.593689,9.054871,-0.581787,3.593689,9.054871,-0.581787,3.593689,9.054871,0.168106,0.101501,0.358048,0.168106,0.101501,0.358048,0.168106,0.101501,0.358048,819.9682,607.20435,-4955.575,4859.1895,0.8375,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',38,James
-0.639252,3.761276,9.208099,-0.639252,3.761276,9.208099,-0.639252,3.761276,9.208099,-0.639252,3.761276,9.208099,-0.639252,3.761276,9.208099,-0.639252,3.761276,9.208099,354.7522,1080.3918,-3185.5127,3561.9478,0.8375,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',38,James
-0.778107,3.722977,8.863327,-0.778107,3.722977,8.863327,-0.778107,3.722977,8.863327,-0.778107,3.722977,8.863327,-0.778107,3.722977,8.863327,-0.778107,3.722977,8.863327,203,1255.537,0,0,0.525,0.003922,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',39,James
-0.84993,4.024643,9.030914,-0.84993,4.024643,9.030914,-0.84993,4.024643,9.030914,-0.84993,4.024643,9.030914,-0.240463,0.144241,0.045334,-0.240463,0.144241,0.045334,212,251,0,0,0.925,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',39,James
-0.84993,4.024643,9.030914,-0.84993,4.024643,9.030914,-0.84993,4.024643,9.030914,-0.84993,4.024643,9.030914,-0.240463,0.144241,0.045334,-0.240463,0.144241,0.045334,212,251,0,0,0.925,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',39,James
-0.500381,4.106049,9.658203,-0.500381,4.106049,9.658203,0.047943,-0.008514,-0.036224,0.047943,-0.008514,-0.036224,0.047943,-0.008514,-0.036224,0.047943,-0.008514,-0.036224,546.6346,214.97803,5877.2446,-1014.84576,0.925,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',39,James
-0.687134,3.7948,9.059647,-0.687134,3.7948,9.059647,-0.687134,3.7948,9.059647,-0.687134,3.7948,9.059647,-0.687134,3.7948,9.059647,-0.687134,3.7948,9.059647,1047.2485,160.84967,1814.7524,371.29288,0.925,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',39,James
-0.873871,3.847473,9.102753,-0.873871,3.847473,9.102753,-0.873871,3.847473,9.102753,-0.873871,3.847473,9.102753,-0.873871,3.847473,9.102753,-0.873871,3.847473,9.102753,733.2971,612.4241,-4946.3843,5193.13,0.925,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',39,James
-0.67276,3.97197,8.87291,-0.67276,3.97197,8.87291,-0.67276,3.97197,8.87291,-0.67276,3.97197,8.87291,-0.67276,3.97197,8.87291,-0.67276,3.97197,8.87291,306.62796,1112.4205,-2518.7468,2576.01,0.925,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',39,James
-0.936127,3.679886,9.203308,-0.936127,3.679886,9.203308,-0.936127,3.679886,9.203308,-0.936127,3.679886,9.203308,-0.936127,3.679886,9.203308,-0.936127,3.679886,9.203308,187.6027,1255,0,0,0.6625,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',40,James
-0.79248,3.914505,9.184143,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,234,228,0,0,0.925,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',40,James
-0.79248,3.914505,9.184143,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,21.746826,8.808899,-30.944824,234,228,0,0,0.925,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',40,James
-0.81163,3.991119,9.619888,-0.81163,3.991119,9.619888,-0.81163,3.991119,9.619888,0.172287,0.102127,0.356155,0.172287,0.102127,0.356155,0.172287,0.102127,0.356155,589.273,176.74097,6486.941,-1224.0483,0.925,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',40,James
-0.825989,3.852264,8.987824,-0.825989,3.852264,8.987824,-0.825989,3.852264,8.987824,-0.825989,3.852264,8.987824,-0.825989,3.852264,8.987824,-0.825989,3.852264,8.987824,1115.5785,101.05786,2341.5295,331.7792,0.925,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',40,James
-0.758957,3.732559,9.121902,22.616577,8.634949,-31.77948,0.06073,-0.055389,0.004257,0.06073,-0.055389,0.004257,0.06073,-0.055389,0.004257,0.06073,-0.055389,0.004257,785.0287,588.7793,-5911.005,6144.2456,0.925,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',40,James
-0.725433,3.837891,9.141052,-0.725433,3.837891,9.141052,-0.725433,3.837891,9.141052,0.174377,0.099533,0.355515,0.174377,0.099533,0.355515,0.174377,0.099533,0.355515,316.5786,1119.8951,-2525.0396,3461.483,0.925,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',40,James
-0.385452,3.914505,9.203308,21.920776,10.374451,-32.113647,0.054337,0.190674,-0.024506,0.054337,0.190674,-0.024506,0.24614,0.069122,0.204254,0.24614,0.069122,0.204254,232.5,1245.5,0,0,0.65,0.011765,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',41,James
-0.854721,3.995911,8.959091,-0.854721,3.995911,8.959091,-0.854721,3.995911,8.959091,-0.854721,3.995911,8.959091,-0.854721,3.995911,8.959091,-0.854721,3.995911,8.959091,242,316,0,0,0.325,0.007843,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',41,James
-0.854721,3.995911,8.959091,-0.854721,3.995911,8.959091,-0.854721,3.995911,8.959091,-0.854721,3.995911,8.959091,-0.854721,3.995911,8.959091,-0.854721,3.995911,8.959091,242,316,0,0,0.325,0.007843,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',41,James
-0.720642,4.034226,9.457092,-0.720642,4.034226,9.457092,-0.720642,4.034226,9.457092,-0.720642,4.034226,9.457092,-0.720642,4.034226,9.457092,-0.720642,4.034226,9.457092,591.7876,265.95343,6631.0493,-859.3591,0.8875,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',41,James
-0.500381,3.708618,8.925583,-0.500381,3.708618,8.925583,-0.500381,3.708618,8.925583,-0.500381,3.708618,8.925583,-0.500381,3.708618,8.925583,-0.500381,3.708618,8.925583,1047.7445,203.10461,2816.331,-206.0862,0.8875,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',41,James
-0.581787,3.61763,8.829803,-0.581787,3.61763,8.829803,-0.581787,3.61763,8.829803,-0.581787,3.61763,8.829803,-0.581787,3.61763,8.829803,-0.581787,3.61763,8.829803,821.1956,655.6315,-5718.5986,6317.8667,0.8875,0.023529,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',41,James
-0.462067,3.885788,9.035706,-0.462067,3.885788,9.035706,-0.462067,3.885788,9.035706,-0.462067,3.885788,9.035706,-0.462067,3.885788,9.035706,-0.462067,3.885788,9.035706,376.71646,1144.1024,-1765.757,1890.0065,0.8875,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',41,James
-0.687134,3.799591,9.212875,-0.687134,3.799591,9.212875,-0.687134,3.799591,9.212875,-0.687134,3.799591,9.212875,-0.687134,3.799591,9.212875,-0.687134,3.799591,9.212875,314.5,1217.5,0,0,0.575,0.015686,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',42,James
-0.778107,4.029434,9.217667,-0.778107,4.029434,9.217667,-0.778107,4.029434,9.217667,-0.778107,4.029434,9.217667,-0.778107,4.029434,9.217667,-0.778107,4.029434,9.217667,365,311,0,0,0.5875,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',42,James
-0.778107,4.029434,9.217667,-0.778107,4.029434,9.217667,-0.778107,4.029434,9.217667,-0.778107,4.029434,9.217667,-0.778107,4.029434,9.217667,-0.778107,4.029434,9.217667,365,311,0,0,0.5875,0.019608,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',42,James
-0.600937,3.785233,9.351746,-0.600937,3.785233,9.351746,-0.027679,0.075623,-0.001068,-0.027679,0.075623,-0.001068,-0.027679,0.075623,-0.001068,-0.027679,0.075623,-0.001068,572.4188,217.30835,6732.441,-1090.0569,0.85,0.027451,'[Point(0, 0), Point(1, 0), Point(2, 0), Point(1, 1), Point(0, 2)]',42,James
