@relation mattPattern1-35

@attribute ' TYPE_ACC0' numeric
@attribute ' TYPE_ACC1' numeric
@attribute ' TYPE_ACC2' numeric
@attribute ' TYPE_MAG0' numeric
@attribute ' TYPE_MAG1' numeric
@attribute ' TYPE_MAG2' numeric
@attribute ' TYPE_GYRO0' numeric
@attribute ' TYPE_GYRO1' numeric
@attribute ' TYPE_GYRO2' numeric
@attribute ' TYPE_ROTATION0' numeric
@attribute ' TYPE_ROTATION1' numeric
@attribute ' TYPE_ROTATION2' numeric
@attribute ' TYPE_LINEAR0' numeric
@attribute ' TYPE_LINEAR1' numeric
@attribute ' TYPE_LINEAR2' numeric
@attribute ' TYPE_GRAVITY0' numeric
@attribute ' TYPE_GRAVITY1' numeric
@attribute ' TYPE_GRAVITY2' numeric
@attribute ' position_x' numeric
@attribute ' position_y' numeric
@attribute ' velocity_x' numeric
@attribute ' velocity_y' numeric
@attribute ' pressure' numeric
@attribute ' size' numeric
@attribute ' mCurrentPattern' {'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]'}
@attribute ' Counter' numeric

@data
-0.651215,6.488281,7.513001,-0.651215,6.488281,7.513001,-0.651215,6.488281,7.513001,0.343735,-0.082672,-0.289841,0.343735,-0.082672,-0.289841,0.343735,-0.082672,-0.289841,262,735,0,0,0.675,0.019608,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',0
-0.651215,6.488281,7.513001,-0.651215,6.488281,7.513001,-0.651215,6.488281,7.513001,0.343735,-0.082672,-0.289841,0.343735,-0.082672,-0.289841,0.343735,-0.082672,-0.289841,262,735,0,0,0.675,0.019608,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',0
0.138855,5.97113,7.37413,0.138855,5.97113,7.37413,0.138855,5.97113,7.37413,0.325211,-0.095428,-0.321762,0.325211,-0.095428,-0.321762,0.325211,-0.095428,-0.321762,548.19824,1165.5728,2093.3574,2539.9956,0.675,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',0
-0.59375,6.493073,7.948746,-0.59375,6.493073,7.948746,-0.59375,6.493073,7.948746,-0.59375,6.493073,7.948746,-0.59375,6.493073,7.948746,-0.59375,6.493073,7.948746,1095.5841,831.2051,2213.1384,-2345.18,0.675,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',0
-1.302445,7.350189,6.196182,-1.302445,7.350189,6.196182,-1.302445,7.350189,6.196182,-1.302445,7.350189,6.196182,-1.302445,7.350189,6.196182,-1.302445,7.350189,6.196182,799.98987,398.78253,-2316.7346,-1475.5073,0.675,0.019608,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',0
-0.679947,6.727692,7.642288,-0.679947,6.727692,7.642288,-0.679947,6.727692,7.642288,0.353745,-0.12262,-0.404877,0.353745,-0.12262,-0.404877,0.353745,-0.12262,-0.404877,686,329,0,0,0.35,0.011765,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',1
-1.230606,7.369339,6.426025,-1.230606,7.369339,6.426025,-1.230606,7.369339,6.426025,-1.230606,7.369339,6.426025,-1.230606,7.369339,6.426025,-1.230606,7.369339,6.426025,205,774,0,0,0.325,0.003922,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',1
-1.230606,7.369339,6.426025,-1.230606,7.369339,6.426025,-1.230606,7.369339,6.426025,-1.230606,7.369339,6.426025,-1.230606,7.369339,6.426025,-1.230606,7.369339,6.426025,205,774,0,0,0.325,0.003922,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',1
0.191528,5.894516,7.977478,0.191528,5.894516,7.977478,0.191528,5.894516,7.977478,0.191528,5.894516,7.977478,0.191528,5.894516,7.977478,0.191528,5.894516,7.977478,565.8495,1178.4955,1558.4916,2076.8518,0.6625,0.019608,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',1
-0.004776,6.536163,6.813889,-0.004776,6.536163,6.813889,-0.004776,6.536163,6.813889,0.320877,-0.169724,-0.493896,0.320877,-0.169724,-0.493896,0.320877,-0.169724,-0.493896,1126.1134,834.42957,2343.823,-2604.6836,0.6625,0.015686,'[Point(0, 1), Point(1, 2), Point(2, 1), Point(1, 0)]',1
